nibs-gsin,bpr-opi,gsin-description_en,gsin-description_fr,bpr-opi-url_en,bpr-opi-url_fr,gsin-code-status_en,gsin-code-status_fr
JX3610A,"[""VAN""]","Duplicating Equipment - Repair and Overhaul","Équipement de duplication - réparation et révision","[""https:\/\/buyandsell.gc.ca\/for-businesses\/contacts-for-businesses\/pwgsc-regional-offices\/pacific-region""]","[""https:\/\/achatsetventes.gc.ca\/pour-les-entreprises\/contacts-pour-les-entreprises\/bureaux-regionaux-de-tpsgc\/region-du-pacifique""]",Active,Actif
JX3610AA,"[""VAN""]","Photocopying Machines and Accessories - Repair","Machines à photocopier et accessoires - réparation","[""https:\/\/buyandsell.gc.ca\/for-businesses\/contacts-for-businesses\/pwgsc-regional-offices\/pacific-region""]","[""https:\/\/achatsetventes.gc.ca\/pour-les-entreprises\/contacts-pour-les-entreprises\/bureaux-regionaux-de-tpsgc\/region-du-pacifique""]",Active,Actif
JX7830,"[""VAN""]","Recreational and Gymnastic Equipment - Repair","Équipements de divertissement et de gymnastique - réparation","[""https:\/\/buyandsell.gc.ca\/for-businesses\/contacts-for-businesses\/pwgsc-regional-offices\/pacific-region""]","[""https:\/\/achatsetventes.gc.ca\/pour-les-entreprises\/contacts-pour-les-entreprises\/bureaux-regionaux-de-tpsgc\/region-du-pacifique""]",Active,Actif
JX7830B,"[""VAN""]","Recreational Bowling Alleys - Repair","Divertissement, boulodrome - réparation","[""https:\/\/buyandsell.gc.ca\/for-businesses\/contacts-for-businesses\/pwgsc-regional-offices\/pacific-region""]","[""https:\/\/achatsetventes.gc.ca\/pour-les-entreprises\/contacts-pour-les-entreprises\/bureaux-regionaux-de-tpsgc\/region-du-pacifique""]",Active,Actif
N3610BE,"[""VAN""]","Photocopying Machines and Accessories","Machines à photocopier et accessoires","[""https:\/\/buyandsell.gc.ca\/for-businesses\/contacts-for-businesses\/pwgsc-regional-offices\/pacific-region""]","[""https:\/\/achatsetventes.gc.ca\/pour-les-entreprises\/contacts-pour-les-entreprises\/bureaux-regionaux-de-tpsgc\/region-du-pacifique""]",Active,Actif
N3610BEC,"[""VAN""]","Photocopier Control/Audit System","Machine à photocopier, système de commande et contrôle","[""https:\/\/buyandsell.gc.ca\/for-businesses\/contacts-for-businesses\/pwgsc-regional-offices\/pacific-region""]","[""https:\/\/achatsetventes.gc.ca\/pour-les-entreprises\/contacts-pour-les-entreprises\/bureaux-regionaux-de-tpsgc\/region-du-pacifique""]",Active,Actif
N3610BED,"[""VAN""]","Photocopying Machines, Laser-Intelligent Copier","Machines à photocopier, duplicateur intelligent au laser","[""https:\/\/buyandsell.gc.ca\/for-businesses\/contacts-for-businesses\/pwgsc-regional-offices\/pacific-region""]","[""https:\/\/achatsetventes.gc.ca\/pour-les-entreprises\/contacts-pour-les-entreprises\/bureaux-regionaux-de-tpsgc\/region-du-pacifique""]",Active,Actif
N3610BEL,"[""VAN""]","Photocopying Machines, Full Colour","Machines à photocopier, tout en couleur","[""https:\/\/buyandsell.gc.ca\/for-businesses\/contacts-for-businesses\/pwgsc-regional-offices\/pacific-region""]","[""https:\/\/achatsetventes.gc.ca\/pour-les-entreprises\/contacts-pour-les-entreprises\/bureaux-regionaux-de-tpsgc\/region-du-pacifique""]",Active,Actif
N7025095,"[""VAN""]","PRINTERS PAGE COLOUR","Imprimante page par page couleur","[""https:\/\/buyandsell.gc.ca\/for-businesses\/contacts-for-businesses\/pwgsc-regional-offices\/pacific-region""]","[""https:\/\/achatsetventes.gc.ca\/pour-les-entreprises\/contacts-pour-les-entreprises\/bureaux-regionaux-de-tpsgc\/region-du-pacifique""]",Active,Actif
N7025099,"[""VAN""]","PRINTERS, PAGE, LASER","Imprimantes page par page, laser","[""https:\/\/buyandsell.gc.ca\/for-businesses\/contacts-for-businesses\/pwgsc-regional-offices\/pacific-region""]","[""https:\/\/achatsetventes.gc.ca\/pour-les-entreprises\/contacts-pour-les-entreprises\/bureaux-regionaux-de-tpsgc\/region-du-pacifique""]",Active,Actif
N7025101,"[""VAN""]","PRINTERS, LINE (BAND, CHAIN, DRUM, TRAIN, ETC.)","Imprimantes ligne par ligne, à bande, à chaîne, à tambour, à train, etc.","[""https:\/\/buyandsell.gc.ca\/for-businesses\/contacts-for-businesses\/pwgsc-regional-offices\/pacific-region""]","[""https:\/\/achatsetventes.gc.ca\/pour-les-entreprises\/contacts-pour-les-entreprises\/bureaux-regionaux-de-tpsgc\/region-du-pacifique""]",Active,Actif
